Name;Episode;Step;Drag;RecircArea;lift
Simu_lift;1;0;0.010719265;-0.16044717;-0.023734357
Simu_lift;1;100;0.011504848;-0.15882689;0.013405878
Simu_lift;1;200;0.011286876;-0.16131839;0.04640329
Simu_lift;1;300;0.010357454;-0.1583659;0.05473881
Simu_lift;1;400;0.010907265;-0.15465602;0.023386475
Simu_lift;1;500;0.011246048;-0.15846351;-0.009426684
Simu_lift;1;600;0.010297996;-0.15987335;0.013136867
Simu_lift;1;700;0.011436902;-0.15961577;0.036774717
Simu_lift;1;800;0.011143282;-0.15960562;0.071207374
Simu_lift;1;900;0.0114352135;-0.16322578;0.04688289
Simu_lift;1;1000;0.010713109;-0.15950553;0.013950762
Simu_lift;1;1100;0.0111438865;-0.16057555;-0.067715205
Simu_lift;1;1200;0.009545945;-0.16386768;-0.06806743
Simu_lift;1;1300;0.009995516;-0.16434363;-0.0063443906
Simu_lift;1;1400;0.0104536945;-0.16214287;0.024841977
Simu_lift;1;1500;0.010292484;-0.16440704;0.04906987
Simu_lift;1;1600;0.010148075;-0.16283308;0.038942646
Simu_lift;1;1700;0.009877781;-0.16007052;-0.033529498
Simu_lift;1;1800;0.009379212;-0.1646707;-0.06293382
Simu_lift;1;1900;0.008976807;-0.16056445;-0.062240336
Simu_lift;1;2000;0.00988394;-0.15829521;-0.004751616
Simu_lift;1;2100;0.010657544;-0.16134767;0.026557855
Simu_lift;1;2200;0.009893378;-0.16314748;0.018501414
Simu_lift;1;2300;0.011737113;-0.15990078;-0.025004137
Simu_lift;1;2400;0.012598209;-0.15938668;-0.05603354
Simu_lift;1;2500;0.011174188;-0.1666574;-0.040494278
Simu_lift;1;2600;0.0100732725;-0.16888906;0.014374595
Simu_lift;1;2700;0.009779108;-0.16384241;0.08959493
Simu_lift;1;2800;0.00856715;-0.17457414;0.08262173
Simu_lift;1;2900;0.006998243;-0.17660214;0.017443992
Simu_lift;1;3000;0.007313614;-0.16812642;-0.06888529
Simu_lift;1;3100;0.0067210332;-0.17341653;-0.11005162
Simu_lift;1;3200;0.007021874;-0.1700434;-0.077025324
Simu_lift;1;3300;0.008141893;-0.16593821;0.0006310334
Simu_lift;1;3400;0.00865044;-0.16608584;0.04785066
Simu_lift;1;3500;0.008791397;-0.16632777;0.06510732
Simu_lift;1;3600;0.009624763;-0.16106834;0.02441454
Simu_lift;1;3700;0.010725802;-0.16114467;-0.011597679
Simu_lift;1;3800;0.009905327;-0.16493085;-0.0333685
Simu_lift;1;3900;0.009610508;-0.15940416;-0.03271616
Simu_lift;1;4000;0.010237484;-0.15889086;0.025711678
Simu_lift;2;0;0.010590665;-0.16100267;0.054664407
Simu_lift;2;100;0.01037629;-0.16151443;0.06974698
Simu_lift;2;200;0.010269115;-0.15815471;0.029289816
Simu_lift;2;300;0.011386953;-0.1572194;-0.019671451
Simu_lift;2;400;0.012473956;-0.15889192;-0.040551793
Simu_lift;2;500;0.011436128;-0.16079094;-0.02135131
Simu_lift;2;600;0.0130105335;-0.15956211;0.03267991
Simu_lift;2;700;0.0129955;-0.1593121;0.07640361
Simu_lift;2;800;0.012395412;-0.16161078;0.08201148
Simu_lift;2;900;0.010949544;-0.15868932;0.034680236
Simu_lift;2;1000;0.011112025;-0.15984629;-0.023498982
Simu_lift;2;1100;0.010206561;-0.1621989;-0.07703192
Simu_lift;2;1200;0.010160113;-0.16487828;-0.010844946
Simu_lift;2;1300;0.010667022;-0.16218826;0.04479489
Simu_lift;2;1400;0.010872668;-0.16299137;0.07415072
Simu_lift;2;1500;0.0101029;-0.1676743;0.047724165
Simu_lift;2;1600;0.009736368;-0.16295478;-0.004418254
Simu_lift;2;1700;0.009851574;-0.16406086;-0.03840574
Simu_lift;2;1800;0.008726394;-0.1667296;-0.06669611
Simu_lift;2;1900;0.008773179;-0.15891938;-0.035624858
Simu_lift;2;2000;0.00964775;-0.16034448;0.022021968
Simu_lift;2;2100;0.0096538775;-0.16255566;0.05390405
Simu_lift;2;2200;0.0098325405;-0.15931271;0.047780268
Simu_lift;2;2300;0.011044844;-0.1563438;0.009510709
Simu_lift;2;2400;0.011482184;-0.1571899;-0.024510741
Simu_lift;2;2500;0.011901133;-0.15569186;-0.035744775
Simu_lift;2;2600;0.012705206;-0.15503186;0.003465752
Simu_lift;2;2700;0.013232267;-0.15533489;0.026582105
Simu_lift;2;2800;0.01267391;-0.1553037;0.041912418
Simu_lift;2;2900;0.013557225;-0.1529044;0.028966714
Simu_lift;2;3000;0.014447414;-0.15197712;0.0056078155
Simu_lift;2;3100;0.01695182;-0.15378405;-0.005051672
Simu_lift;2;3200;0.0152998185;-0.1547856;-0.021943154
Simu_lift;2;3300;0.01421224;-0.15233208;0.02645982
Simu_lift;2;3400;0.01503354;-0.15429772;0.041105654
Simu_lift;2;3500;0.014822625;-0.15546824;0.05092646
Simu_lift;2;3600;0.014381527;-0.15434743;0.030097147
Simu_lift;2;3700;0.014058392;-0.15494354;-0.01663724
Simu_lift;2;3800;0.015266119;-0.15689598;-0.03353124
Simu_lift;2;3900;0.013012815;-0.1602046;-0.014759491
Simu_lift;2;4000;0.01312892;-0.15894128;0.05555542
Simu_lift;3;0;0.013842037;-0.15799272;0.08238889
