Name;Step;Drag;Lift;RecircArea;Jet0;Jet1
Simu_lift;55;-0.15887052;0.010955351;0.0110854255;0.000193519335557;-0.000193519335557
Simu_lift;56;-0.15885384;0.010798921;0.011083829;0.000221861502069;-0.000221861502069
Simu_lift;57;-0.15883578;0.010688304;0.011102561;0.000247369451929;-0.000247369451929
Simu_lift;58;-0.15881951;0.010643594;0.011102561;0.000270326606803;-0.000270326606803
Simu_lift;59;-0.15880294;0.010642583;0.011048908;0.00029098804619;-0.00029098804619
Simu_lift;60;-0.1587875;0.01069389;0.011048908;0.000309583341638;-0.000309583341638
Simu_lift;61;-0.15877222;0.010783751;0.011052214;0.000326319107541;-0.000326319107541
Simu_lift;62;-0.15875779;0.010915455;0.011052214;0.000341381296854;-0.000341381296854
Simu_lift;63;-0.15874371;0.011080015;0.011216924;0.000354937267236;-0.000354937267236
Simu_lift;64;-0.15873037;0.01127819;0.01126748;0.000367137640579;-0.000367137640579
Simu_lift;65;-0.1587175;0.01150384;0.01126748;0.000378117976588;-0.000378117976588
Simu_lift;66;-0.15870528;0.011756557;0.011285976;0.000388000278996;-0.000388000278996
Simu_lift;67;-0.1586936;0.012031984;0.011285976;0.000396894351164;-0.000396894351164
Simu_lift;68;-0.15868254;0.012329217;0.011266521;0.000404899016114;-0.000404899016114
Simu_lift;69;-0.15867203;0.012645064;0.011266521;0.00041210321457;-0.00041210321457
Simu_lift;70;-0.15866217;0.012978464;0.011307062;0.00041858699318;-0.00041858699318
Simu_lift;71;-0.15865286;0.013327019;0.0111286985;0.000424422393929;-0.000424422393929
Simu_lift;72;-0.15864417;0.013689672;0.0111286985;0.000429674254603;-0.000429674254603
Simu_lift;73;-0.15863606;0.01406458;0.0111286985;0.00043440092921;-0.00043440092921
Simu_lift;74;-0.15862857;0.014450771;0.0111286985;0.000438654936356;-0.000438654936356
Simu_lift;75;-0.15862167;0.014846807;0.011117792;0.000442483542787;-0.000442483542787
Simu_lift;76;-0.15861537;0.015251822;0.011117792;0.000445929288576;-0.000445929288576
Simu_lift;77;-0.15860966;0.015664682;0.011123252;0.000449030459785;-0.000449030459785
Simu_lift;78;-0.15860456;0.016084632;0.011211761;0.000451821513874;-0.000451821513874
Simu_lift;79;-0.15860005;0.016510766;0.011092083;0.000454333462553;-0.000454333462553
Simu_lift;80;-0.15859614;0.016942441;0.011092083;0.000456594216365;-0.000456594216365
Simu_lift;81;-0.15859284;0.017378924;0.0111761335;0.000458628894795;-0.000458628894795
Simu_lift;82;-0.15859012;0.017819671;0.0111761335;0.000460460105383;-0.000460460105383
Simu_lift;83;-0.15858799;0.018264085;0.0111761335;0.000462108194912;-0.000462108194912
Simu_lift;84;-0.15858647;0.018711703;0.01117446;0.000463591475488;-0.000463591475488
Simu_lift;85;-0.15858553;0.019162042;0.011142496;0.000464926428006;-0.000464926428006
Simu_lift;86;-0.15858519;0.01961471;0.011142496;0.000466127885272;-0.000466127885272
Simu_lift;87;-0.15858544;0.020069307;0.011142496;0.000467209196812;-0.000467209196812
Simu_lift;88;-0.15858628;0.020525502;0.011142496;0.000468182377198;-0.000468182377198
Simu_lift;89;-0.15858771;0.020982968;0.011295537;0.000469058239545;-0.000469058239545
Simu_lift;90;-0.1585897;0.02144142;0.011295537;0.000469846515658;-0.000469846515658
Simu_lift;91;-0.1585923;0.021900589;0.011260291;0.000470555964159;-0.000470555964159
Simu_lift;92;-0.15859547;0.022360232;0.011260291;0.00047119446781;-0.00047119446781
Simu_lift;93;-0.15859921;0.02282012;0.011175248;0.000471769121096;-0.000471769121096
Simu_lift;94;-0.15860355;0.023280052;0.0113477195;0.000472286309053;-0.000472286309053
Simu_lift;95;-0.15860844;0.02373983;0.011377036;0.000472751778215;-0.000472751778215
Simu_lift;96;-0.1586139;0.024199283;0.011366875;0.000473170700461;-0.000473170700461
Simu_lift;97;-0.15861994;0.024658242;0.011431594;0.000473547730482;-0.000473547730482
Simu_lift;98;-0.15862654;0.02511656;0.011429492;0.0004738870575;-0.0004738870575
