Name;Step;Drag;Lift;RecircArea;Jet0;Jet1
Simu_lift;0;-0.16044717;-0.023734357;0.010719265;-0.00036749264691;0.00036749264691
Simu_lift;1;-0.1606202;-0.10274934;0.01072473;-0.000698236029129;0.000698236029129
Simu_lift;2;-0.16040787;-0.09882906;0.010893662;-0.000995905073127;0.000995905073127
Simu_lift;3;-0.16037488;-0.091535166;0.010868231;-0.00126380721272;0.00126380721272
Simu_lift;4;-0.16027866;-0.085682094;0.010868231;-0.00150491913836;0.00150491913836
Simu_lift;5;-0.16021688;-0.080149606;0.010863175;-0.00172191987144;0.00172191987144
Simu_lift;6;-0.16013913;-0.07519349;0.0108890645;-0.0019172205312;0.0019172205312
Simu_lift;7;-0.1600762;-0.070552245;0.0108890645;-0.00209299112499;0.00209299112499
Simu_lift;8;-0.1600067;-0.06636543;0.010904569;-0.0022511846594;0.0022511846594
Simu_lift;9;-0.15994403;-0.062479608;0.010904569;-0.00239355884037;0.00239355884037
Simu_lift;10;-0.15987875;-0.058955483;0.010872211;-0.00252169560325;0.00252169560325
Simu_lift;11;-0.1598172;-0.055697642;0.010861075;-0.00263701868983;0.00263701868983
Simu_lift;12;-0.15975478;-0.052729946;0.010876953;-0.00274080946776;0.00274080946776
Simu_lift;13;-0.15969475;-0.049989954;0.010876953;-0.00283422116789;0.00283422116789
Simu_lift;14;-0.15963468;-0.047483895;0.010876953;-0.00291829169801;0.00291829169801
Simu_lift;15;-0.15957634;-0.045169134;0.0108796125;-0.00299395517512;0.00299395517512
Simu_lift;16;-0.15951842;-0.043043643;0.010876228;-0.00306205230452;0.00306205230452
Simu_lift;17;-0.1594619;-0.04107725;0.010909952;-0.00312333972098;0.00312333972098
Simu_lift;18;-0.15940604;-0.039264373;0.010943969;-0.00317849839579;0.00317849839579
Simu_lift;19;-0.15935138;-0.03758302;0.010947744;-0.00322814120312;0.00322814120312
Simu_lift;20;-0.15929751;-0.03602642;0.010955232;-0.00327281972972;0.00327281972972
Simu_lift;21;-0.15924469;-0.034578152;0.011185298;-0.00331303040366;0.00331303040366
Simu_lift;22;-0.1591927;-0.03323142;0.011188968;-0.0033492200102;0.0033492200102
Simu_lift;23;-0.15914164;-0.03197373;0.011211424;-0.00338179065609;0.00338179065609
Simu_lift;24;-0.15909141;-0.030798797;0.011211424;-0.00341110423739;0.00341110423739
Simu_lift;25;-0.15904205;-0.029696982;0.011208055;-0.00343748646056;0.00343748646056
Simu_lift;26;-0.15899344;-0.028662711;0.011218305;-0.00346123046142;0.00346123046142
Simu_lift;27;-0.1589456;-0.027688468;0.011224527;-0.00348260006219;0.00348260006219
Simu_lift;28;-0.15889849;-0.026769444;0.011224527;-0.00350183270288;0.00350183270288
Simu_lift;29;-0.15885206;-0.02589972;0.011235315;-0.0035191420795;0.0035191420795
Simu_lift;30;-0.15880628;-0.02507522;0.011254484;-0.00353472051846;0.00353472051846
Simu_lift;31;-0.15876113;-0.024291255;0.011310663;-0.00354874111353;0.00354874111353
Simu_lift;32;-0.15871657;-0.023544407;0.011304048;-0.00356135964908;0.00356135964908
Simu_lift;33;-0.15867257;-0.022830945;0.011304048;-0.00357271633108;0.00357271633108
Simu_lift;34;-0.1586291;-0.022148026;0.011310493;-0.00358293734489;0.00358293734489
Simu_lift;35;-0.15858614;-0.02149267;0.011304281;-0.00359213625731;0.00359213625731
Simu_lift;36;-0.15854366;-0.020862527;0.011304281;-0.00360041527849;0.00360041527849
Simu_lift;37;-0.15850165;-0.020255208;0.011289828;-0.00360786639755;0.00360786639755
Simu_lift;38;-0.1584601;-0.019668782;0.011295026;-0.0036145724047;0.0036145724047
Simu_lift;39;-0.15841897;-0.019101333;0.011122555;-0.00362060781114;0.00362060781114
Simu_lift;40;-0.15837826;-0.018551277;0.011119451;-0.00362603967694;0.00362603967694
Simu_lift;41;-0.15833797;-0.01801707;0.011122024;-0.00363092835616;0.00363092835616
Simu_lift;42;-0.15829806;-0.017497424;0.011122024;-0.00363532816745;0.00363532816745
Simu_lift;43;-0.15825856;-0.016991094;0.011064992;-0.00363928799762;0.00363928799762
Simu_lift;44;-0.15821944;-0.016497027;0.011064992;-0.00364285184476;0.00364285184476
Simu_lift;45;-0.15818071;-0.016014228;0.011045364;-0.0036460593072;0.0036460593072
Simu_lift;46;-0.15814237;-0.0155418385;0.011114637;-0.00364894602339;0.00364894602339
Simu_lift;47;-0.15810442;-0.015079055;0.011119108;-0.00365154406796;0.00365154406796
Simu_lift;48;-0.15806685;-0.014625183;0.011117849;-0.00365388230807;0.00365388230807
Simu_lift;49;-0.15802969;-0.014179578;0.011117849;-0.00365598672418;0.00365598672418
Simu_lift;50;-0.15799293;-0.013741678;0.011117849;-0.00357972115126;0.00357972115126
Simu_lift;51;-0.15791294;0.0035878993;0.011132489;-0.00351108213563;0.00351108213563
Simu_lift;52;-0.15792131;0.0032727045;0.011070284;-0.00344930702157;0.00344930702157
Simu_lift;53;-0.15789224;0.0022339756;0.011072908;-0.00339370941891;0.00339370941891
Simu_lift;54;-0.15787522;0.0014956094;0.011076795;-0.00334367157652;0.00334367157652
Simu_lift;55;-0.15784988;0.00082179124;0.011073847;-0.00329863751837;0.00329863751837
Simu_lift;56;-0.15782736;0.00026539344;0.011050254;-0.00325810686603;0.00325810686603
Simu_lift;57;-0.15780105;-0.00022804609;0.011066955;-0.00322162927893;0.00322162927893
Simu_lift;58;-0.15777586;-0.0006296037;0.011009416;-0.00318879945053;0.00318879945053
Simu_lift;59;-0.15774892;-0.0009711975;0.010996163;-0.00315925260498;0.00315925260498
Simu_lift;60;-0.15772247;-0.0012402843;0.010982853;-0.00313266044398;0.00313266044398
Simu_lift;61;-0.15769516;-0.0014566482;0.010975815;-0.00310872749908;0.00310872749908
Simu_lift;62;-0.15766819;-0.0016154035;0.010978499;-0.00308718784867;0.00308718784867
Simu_lift;63;-0.15764084;-0.0017294384;0.010972296;-0.0030678021633;0.0030678021633
Simu_lift;64;-0.15761384;-0.0017975348;0.011177059;-0.00305035504647;0.00305035504647
Simu_lift;65;-0.1575868;-0.0018284571;0.011177059;-0.00303465264133;0.00303465264133
Simu_lift;66;-0.15756011;-0.0018226987;0.011190255;-0.00302052047669;0.00302052047669
Simu_lift;67;-0.15753362;-0.0017864472;0.011190255;-0.00300780152852;0.00300780152852
Simu_lift;68;-0.15750755;-0.0017209265;0.011190255;-0.00299635447517;0.00299635447517
Simu_lift;69;-0.15748185;-0.0016306443;0.011011892;-0.00298605212715;0.00298605212715
Simu_lift;70;-0.15745664;-0.001517064;0.011029868;-0.00297678001394;0.00297678001394
Simu_lift;71;-0.15743189;-0.0013835559;0.011031738;-0.00296843511204;0.00296843511204
