Name;Episode;Step;Drag;RecircArea;lift
Simu_lift;1;0;0.010719265;-0.16044717;-0.023734357
Simu_lift;1;100;0.011490087;-0.1584791;0.015058185
Simu_lift;1;200;0.011393256;-0.1611153;0.05034408
Simu_lift;1;300;0.010601263;-0.160767;0.036046315
Simu_lift;1;400;0.010970565;-0.16045222;-0.017157713
Simu_lift;1;500;0.0109761525;-0.1604177;-0.04551909
Simu_lift;1;600;0.010735069;-0.16282904;-0.036199566
Simu_lift;1;700;0.011251517;-0.16330494;0.024175396
Simu_lift;1;800;0.011836669;-0.16206956;0.084340505
Simu_lift;1;900;0.009705826;-0.16820341;0.078821674
Simu_lift;1;1000;0.009086328;-0.16981395;0.03002097
Simu_lift;1;1100;0.008554669;-0.16256016;-0.034120157
Simu_lift;1;1200;0.00804371;-0.16864645;-0.0682212
Simu_lift;1;1300;0.0073812096;-0.16526037;-0.04405136
Simu_lift;1;1400;0.008695704;-0.16365297;0.004775841
Simu_lift;1;1500;0.009231676;-0.16430424;0.065184444
Simu_lift;1;1600;0.009358542;-0.16142114;0.062465385
Simu_lift;1;1700;0.010198485;-0.15920338;0.0018392614
Simu_lift;1;1800;0.011114835;-0.16035683;-0.046997856
Simu_lift;1;1900;0.010167469;-0.1595729;-0.06573455
Simu_lift;1;2000;0.011239581;-0.15831463;-0.027829748
Simu_lift;1;2100;0.012309227;-0.15616053;0.0019010671
Simu_lift;1;2200;0.0123574715;-0.15652868;0.022348559
Simu_lift;1;2300;0.012315801;-0.15602624;0.02594099
Simu_lift;1;2400;0.013141468;-0.15400368;0.007581942
Simu_lift;1;2500;0.013118069;-0.15699455;-0.026790978
Simu_lift;1;2600;0.012970736;-0.15650752;-0.057511996
Simu_lift;1;2700;0.012058276;-0.1523429;-0.037281092
Simu_lift;1;2800;0.013219061;-0.15322807;-0.016665895
Simu_lift;1;2900;0.013191376;-0.1554926;0.010004323
Simu_lift;1;3000;0.0129148485;-0.15554929;0.008621018
Simu_lift;1;3100;0.013691801;-0.15404965;-0.015865216
Simu_lift;1;3200;0.014351382;-0.1550881;-0.034746796
Simu_lift;1;3300;0.01435864;-0.15519746;-0.026029417
Simu_lift;1;3400;0.013484654;-0.15551373;0.010861742
Simu_lift;1;3500;0.01413331;-0.15470813;0.078744106
Simu_lift;1;3600;0.013130686;-0.1559717;0.06880078
Simu_lift;1;3700;0.0136813065;-0.15792565;0.018822597
Simu_lift;1;3800;0.01403275;-0.15567788;-0.019221712
Simu_lift;1;3900;0.014621585;-0.1593503;-0.009275385
Simu_lift;1;4000;0.012618392;-0.15777753;-0.002738382
