Name;Episode;Step;RecircArea;Drag;lift
Simulation_lift;0;0;0.011713447;-0.15862954;0.016744647
Simulation_lift;0;10;0.01170286;-0.15858658;0.029122617
Simulation_lift;0;20;0.011802094;-0.15864733;0.030785728
Simulation_lift;0;30;0.011699304;-0.15877578;0.034164883
Simulation_lift;0;40;0.011278216;-0.15895796;0.03800782
Simulation_lift;0;50;0.011210875;-0.15918306;0.04183136
Simulation_lift;0;60;0.011212557;-0.15944059;0.045439478
Simulation_lift;0;70;0.011365092;-0.1597195;0.048742235
Simulation_lift;0;80;0.0118319895;-0.16000815;0.05169002
Simulation_lift;0;90;0.011765925;-0.16029468;0.054250114
Simulation_lift;0;100;0.011497032;-0.1605674;0.056398287
Simulation_lift;0;110;0.0115268985;-0.16081503;0.05811555
Simulation_lift;0;120;0.011183798;-0.16102725;0.059387267
Simulation_lift;0;130;0.011002778;-0.16119519;0.060203373
Simulation_lift;0;140;0.011157706;-0.16131175;0.060558394
Simulation_lift;0;150;0.011159859;-0.16137192;0.06045094
Simulation_lift;0;160;0.010977327;-0.16137272;0.059883546
Simulation_lift;0;170;0.011099768;-0.16131337;0.058862887
Simulation_lift;0;180;0.010409446;-0.1611953;0.057399493
Simulation_lift;0;190;0.010888503;-0.1610221;0.055507243
Simulation_lift;0;200;0.010696571;-0.16079919;0.053203385
Simulation_lift;0;210;0.011079821;-0.16053347;0.05050862
Simulation_lift;0;220;0.010650349;-0.16023311;0.04744687
Simulation_lift;0;230;0.010780065;-0.15990739;0.044045005
Simulation_lift;0;240;0.010367071;-0.15956637;0.04033252
Simulation_lift;0;250;0.010518854;-0.15922067;0.036341395
Simulation_lift;0;260;0.010653501;-0.15888087;0.0321062
Simulation_lift;0;270;0.011013959;-0.15855722;0.027663942
Simulation_lift;0;280;0.010921595;-0.15825921;0.023053901
Simulation_lift;0;290;0.010965813;-0.1579954;0.018317493
Simulation_lift;0;300;0.011464202;-0.15777329;0.013497638
Simulation_lift;0;310;0.011419618;-0.157599;0.00863783
Simulation_lift;0;320;0.011114854;-0.15747717;0.0037820998
Simulation_lift;0;330;0.011299768;-0.1574107;-0.0010249716
Simulation_lift;0;340;0.011262362;-0.1574008;-0.005739169
Simulation_lift;0;350;0.0114053525;-0.15744704;-0.010317073
Simulation_lift;0;360;0.0115145575;-0.15754709;-0.014715956
Simulation_lift;0;370;0.0120169325;-0.15769684;-0.01889491
Simulation_lift;0;380;0.01180277;-0.15789062;-0.022815995
Simulation_lift;0;390;0.011270884;-0.15812135;-0.02644375
Simulation_lift;0;400;0.01128052;-0.1583807;-0.02974502
Simulation_lift;0;410;0.01106422;-0.15865944;-0.032689814
Simulation_lift;0;420;0.011434913;-0.15894769;-0.035251845
Simulation_lift;0;430;0.011725912;-0.1592353;-0.037408657
Simulation_lift;0;440;0.011245873;-0.15951218;-0.039141983
Simulation_lift;0;450;0.011288096;-0.15976872;-0.040438004
Simulation_lift;0;460;0.010917373;-0.15999614;-0.04128716
Simulation_lift;0;470;0.011016736;-0.1601868;-0.04168403
Simulation_lift;0;480;0.010530477;-0.16033451;-0.04162733
Simulation_lift;0;490;0.010974738;-0.16043466;-0.041119676
Simulation_lift;0;500;0.010897908;-0.16048436;-0.0401676
Simulation_lift;0;510;0.011646047;-0.16048254;-0.03878156
Simulation_lift;0;520;0.010822152;-0.16043001;-0.036975708
Simulation_lift;0;530;0.010920119;-0.1603295;-0.03476756
Simulation_lift;0;540;0.011067282;-0.16018547;-0.032177582
Simulation_lift;0;550;0.010851228;-0.16000389;-0.029228972
Simulation_lift;0;560;0.010954964;-0.15979184;-0.025947869
Simulation_lift;0;570;0.011183581;-0.1595573;-0.022363327
Simulation_lift;0;580;0.011263305;-0.15930869;-0.018506728
Simulation_lift;0;590;0.011251903;-0.15905485;-0.014411203
Simulation_lift;0;600;0.010856102;-0.15880474;-0.010111835
Simulation_lift;0;610;0.011074415;-0.15856695;-0.005646025
Simulation_lift;0;620;0.011067232;-0.15834934;-0.0010529229
Simulation_lift;0;630;0.011535458;-0.15815884;0.0036274893
Simulation_lift;0;640;0.01144005;-0.15800132;0.008354501
Simulation_lift;0;650;0.011523153;-0.15788141;0.013086617
Simulation_lift;0;660;0.011503175;-0.15780246;0.017782414
Simulation_lift;0;670;0.011984992;-0.15776648;0.022401096
Simulation_lift;0;680;0.0120045375;-0.1577738;0.026901992
Simulation_lift;0;690;0.01202918;-0.15782304;0.03124494
Simulation_lift;0;700;0.0119815385;-0.15791146;0.03539173
Simulation_lift;0;710;0.011926054;-0.15803503;0.039306503
Simulation_lift;0;720;0.011851056;-0.15818848;0.042955473
Simulation_lift;0;730;0.012118617;-0.15836541;0.046307188
Simulation_lift;0;740;0.012553881;-0.15855846;0.04933292
Simulation_lift;0;0;0.011713447;-0.15862954;0.016744647
Simulation_lift;0;10;0.011700434;-0.15861443;0.02428653
Simulation_lift;0;20;0.011802094;-0.1586745;0.028058019
